Source,Target,Label,Type,Context,Source_Document,Weight,Chapter,Book_Vol,Description
khazad-dûm,kheled-zâram,LOCATION-LOCATION,CO_OCCURRENCE,"of Kheled-zâram, and cold are the springs of Kibil-nâla, and fair were the many-pillared halls of Khazad-dûm in Elder Days before the fall of mighty kings beneath the stone.' She looked upon Gimli, who sat glowering and sad, and she smiled. And the Dwarf, hearing the names given in his",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,7,7,2,[N/A]
khazad-dûm,kibil-nâla,LOCATION-LOCATION,CO_OCCURRENCE,"the springs of Kibil-nâla, and fair were the many-pillared halls of Khazad-dûm in Elder Days before the fall of mighty kings beneath the stone.' She looked upon Gimli, who sat glowering and sad, and she smiled. And the Dwarf, hearing the names given in his own ancient tongue, looked up",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,8,7,2,[N/A]
galadhrim,haldir,ORGANIZATION-PERSON,CO_OCCURRENCE,"tongue. Haldir had bidden them farewell and gone back again to the fences of the North, where great watch was now kept since the tidings of Moria that the Company had brought. Legolas was away much among the Galadhrim, and after the first night he did not sleep with the",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,3,7,2,[N/A]
western shore,wilderland,LOCATION-LOCATION,CO_OCCURRENCE,"without a word. From Wilderland to Western shore, from northern waste to southern hill, through dragon-lair and hidden door and darkling woods he walked at will. With Dwarf and Hobbit, Elves and Men, with mortal and immortal folk, with bird on bough and beast in den, in their own secret",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,7,2,[N/A]
northern waste,western shore,LOCATION-LOCATION,CO_OCCURRENCE,"the Shire was grey his footsteps on the Hill were heard; before the dawn he went away on journey long without a word. From Wilderland to Western shore, from northern waste to southern hill, through dragon-lair and hidden door and darkling woods he walked at will. With Dwarf and Hobbit,",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,2,7,2,[N/A]
northern waste,wilderland,LOCATION-LOCATION,CO_OCCURRENCE,"the Shire was grey his footsteps on the Hill were heard; before the dawn he went away on journey long without a word. From Wilderland to Western shore, from northern waste to southern hill, through dragon-lair and hidden door and darkling woods he walked at will. With Dwarf and Hobbit,",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,2,7,2,[N/A]
dell,lothlórien,LOCATION-LOCATION,CO_OCCURRENCE,"of Doom? For if you fail, then we are laid bare to the Enemy. Yet if you succeed, then our power is diminished, and Lothlórien will fade, and the tides of Time will sweep it away. We must depart into the West, or dwindle to a rustic folk of dell",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,1,7,2,[N/A]
nen hithoel,sarn gebir,LOCATION-LOCATION,CO_OCCURRENCE,"Sarn Gebir, and maybe at last to the great falls of Rauros where the River thunders down from Nen Hithoel; and there are other perils. Boats may make your journey less toilsome for a while. Yet they will not give you counsel: in the end you must leave them and",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,7,8,2,[N/A]
haldir,northern fences,PERSON-LOCATION,CO_OCCURRENCE,"the sunlight, Haldir came walking towards them over the green grass of the glade. Frodo greeted him with delight. 'I have returned from the Northern Fences,' said the Elf, `and I am sent now to be your guide again. The Dimrill Dale is full of vapour and clouds of smoke,",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,5,8,2,[N/A]
eldamar,elven tirion,PERSON-PERSON,CO_OCCURRENCE,"foam was on the Sea, And by the strand of Ilmarin there grew a golden Tree. Beneath the stars of Ever-eve in Eldamar it shone, In Eldamar beside the walls of Elven Tirion. There long the golden leaves have grown upon the branching years, While here beyond the Sundering Seas",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,2,8,2,[N/A]
northerland,tharbad,LOCATION-LOCATION,CO_OCCURRENCE,"messenger, I passed through the Gap by the skirts of the White Mountains, and crossed the Isen and the Greyflood into Northerland. A long and wearisome journey. Four hundred leagues I reckoned it, and it took me many months; for I lost my horse at Tharbad, at the fording of",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,1,8,2,[N/A]
namárië,valimar,PERSON-PERSON,CO_OCCURRENCE,"ná, Rómello vanwa, Valimar! Namárië! Nai hiruvalyë Valimar. Nai elyë hiruva. Namárië! `Ah! like gold fall the leaves in the wind, long years numberless as the wings of trees! The long years have passed like swift draughts of the sweet mead in lofty halls beyond the West, beneath the blue",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,8,2,[N/A]
namárië,varda,PERSON-LOCATION,CO_OCCURRENCE,"Nai hiruvalyë Valimar. Nai elyë hiruva. Namárië! `Ah! like gold fall the leaves in the wind, long years numberless as the wings of trees! The long years have passed like swift draughts of the sweet mead in lofty halls beyond the West, beneath the blue vaults of Varda wherein the",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,1,8,2,[N/A]
kindler,varda,PERSON-LOCATION,CO_OCCURRENCE,"now the Kindler, Varda, the Queen of the Stars, from Mount Everwhite has uplifted her hands like clouds, and all paths are drowned deep in shadow; and out of a grey country darkness lies on the foaming waves between us, and mist covers the jewels of Calacirya for ever. Now",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,9,8,2,[N/A]
valimar,varda,PERSON-LOCATION,CO_OCCURRENCE,"the East is Valimar! Farewell! Maybe thou shalt find Valimar. Maybe even thou shalt find it. Farewell! ' Varda is the name of that Lady whom the Elves in these lands of exile name Elbereth. Suddenly the River swept round a bend, and the banks rose upon either side, and",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,6,8,2,[N/A]
bay of belfalas,southfarthing,LOCATION-LOCATION,CO_OCCURRENCE,"until the sudden spring, and we may yet have snow again. Far away down in the Bay of Belfalas, to which Anduin runs, it is warm and merry, maybe, or would be but for the Enemy. But here we are not above sixty leagues, I guess, south of the Southfarthing",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,1,9,2,[N/A]
sarn gebir,southern landing,LOCATION-LOCATION,CO_OCCURRENCE,"Sarn Gebir, but they could not see it. Twice they made the journey, before all was brought safe to the southern landing. There the portage-way, turning back to the water-side, ran gently down to the shallow edge of a little pool. It seemed to have been scooped in the river-side,",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,1,9,2,[N/A]
parth galen,tol brandir,LOCATION-LOCATION,CO_OCCURRENCE,"channel they passed the green sward of Parth Galen. The steep sides of Tol Brandir were glowing: it was now mid-afternoon. As they went south the fume of Rauros rose and shimmered before them, a haze of gold. The rush and thunder of the falls shook the windless air. Sorrowfully",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,8,1,3,[N/A]
bardings of dale,beornings of the wood,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"Bardings of Dale, and with the Beornings of the Wood, among whom may still be seen many men tall and fair, as are the Riders of Rohan. At least they will not love the Orcs.' 'But Gandalf spoke of a rumour that they pay tribute to Mordor ' said Gimli.",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,8,2,3,[N/A]
lothlórien,woodland realm,LOCATION-LOCATION,CO_OCCURRENCE,"is an Elf, Legolas from the Woodland Realm in distant Mirkwood. But we have passed through Lothlórien, and the gifts and favour of the Lady go with us.' The Rider looked at them with renewed wonder, but his eyes hardened. 'Then there is a Lady in the Golden Wood, as",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,7,2,3,[N/A]
golden wood,woodland realm,LOCATION-LOCATION,CO_OCCURRENCE,"is an Elf, Legolas from the Woodland Realm in distant Mirkwood. But we have passed through Lothlórien, and the gifts and favour of the Lady go with us.' The Rider looked at them with renewed wonder, but his eyes hardened. 'Then there is a Lady in the Golden Wood, as",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,2,3,[N/A]
entwade,éothain,LOCATION-PERSON,CO_OCCURRENCE,"to ride to the Entwade.' Muttering Éothain retired, and spoke to the others. Soon they drew off and left Éomer alone with the three companions. 'All that you say is strange, Aragorn.' he said. 'Yet you speak the truth, that is plain: the Men of the Mark do not lie,",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,10,2,3,[N/A]
tol brandir,wingfoot,LOCATION-PERSON,CO_OCCURRENCE,"the shadow of Tol Brandir.' 'On foot?' cried Éomer. 'Yes, even as you see us.' Wide wonder came into Éomer's eyes. 'Strider is too poor a name, son of Arathorn,' he said. 'Wingfoot I name you. This deed of the three friends should be sung in many a hall. Forty",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,3,2,3,[N/A]
hardy,wingfoot,PERSON-PERSON,CO_OCCURRENCE,"he said. 'Wingfoot I name you. This deed of the three friends should be sung in many a hall. Forty leagues and five you have measured ere the fourth day is ended! Hardy is the race of Elendil! 'But now, lord, what would you have me do! I must return",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,4,2,3,[N/A]
edoras,meduseld,LOCATION-LOCATION,CO_OCCURRENCE,"me to Edoras and look on Meduseld; for that way I shall go. So far Stybba can bear you: the great race will not begin till we reach the plains.' Then Éowyn rose up. 'Come now, Meriadoc!' she said. 'I will show you the gear that I have prepared fur",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,38,2,3,[N/A]
edoras,entwade,LOCATION-LOCATION,CO_OCCURRENCE,"I will lend you horses. This only I ask: when your quest is achieved, or is proved vain, return with the horses over the Entwade to Meduseld, the high house in Edoras where Théoden now sits. Thus you shall prove to him that I have not misjudged. In this I",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,2,3,[N/A]
entwade,meduseld,LOCATION-LOCATION,CO_OCCURRENCE,"I will lend you horses. This only I ask: when your quest is achieved, or is proved vain, return with the horses over the Entwade to Meduseld, the high house in Edoras where Théoden now sits. Thus you shall prove to him that I have not misjudged. In this I",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,2,3,[N/A]
gárulf,hasufel,PERSON-PERSON,CO_OCCURRENCE,"he mounted it. 'Hasufel is his name,' said Éomer. 'May he bear you well and to better fortune than Gárulf, his late master!' A smaller and lighter horse, but restive and fiery, was brought to Legolas. Arod was his name. But Legolas asked them to take off saddle and rein.",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,5,2,3,[N/A]
lugbúrz,uglúk,LOCATION-PERSON,CO_OCCURRENCE,"you would,' snarled Uglúk stepping up from behind. 'Meaning I don't think at all, eh? Curse you! You're as bad as the other rabble: the maggots and the apes of Lugbúrz. No good trying to charge with them. They'd just squeal and bolt, and there are more than enough of",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,35,3,3,[N/A]
horse-country,lugbúrz,LOCATION-LOCATION,CO_OCCURRENCE,"get all the pay and praise in Lugbúrz, and leave us to foot it as best we can through the Horse-country. No, we must stick together. These lands are dangerous: full of foul rebels and brigands.' 'Aye, we must stick together,' growled Uglúk. 'I don't trust you little swine. You've",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,5,3,3,[N/A]
horse-country,uglúk,LOCATION-PERSON,CO_OCCURRENCE,"get all the pay and praise in Lugbúrz, and leave us to foot it as best we can through the Horse-country. No, we must stick together. These lands are dangerous: full of foul rebels and brigands.' 'Aye, we must stick together,' growled Uglúk. 'I don't trust you little swine. You've",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,3,3,[N/A]
uglúk,uruk-hai,PERSON-ORGANIZATION,CO_OCCURRENCE,"them show themselves across the Great River yet, not too soon. They're for the War-and other purposes.' 'You seem to know a lot,' said Uglúk. 'More than is good for you, I guess. Perhaps those in Lugbúrz might wonder how, and why. But in the meantime the Uruk-hai of Isengard",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,8,3,3,[N/A]
grishnákh,uglúk,PERSON-PERSON,CO_OCCURRENCE,"of Grishnákh had roused the Orcs. From the yells and screeches that came from the knoll the hobbits guessed that their disappearance had been discovered: Uglúk was probably knocking off a few more heads. Then suddenly the answering cries of orc-voices came from the right, outside the circle of watch-fires,",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,93,3,3,[N/A]
lugdush,uglúk,PERSON-PERSON,CO_OCCURRENCE,"down!' ordered Uglúk, taking no notice of Grishnákh. 'You, Lugdush, get two others and stand guard over them! They're not to be killed, unless the filthy Whiteskins break through. Understand? As long as I'm alive, I want 'em. But they're not to cry out, and they're not to be rescued.",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,19,3,3,[N/A]
the isengarders,uglúk,ORGANIZATION-PERSON,CO_OCCURRENCE,"the Northerners and the Isengarders. Some were pointing back away south, and some were pointing eastward. 'Very well,' said Uglúk. 'Leave them to me then! No killing, as I've told you before; but if you want to throw away what we've come all the way to get, throw it away!",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,30,3,3,[N/A]
the isengarders,the northerners,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"the Northerners. They were flagging in the rays of the bright sun, winter sun shining in a pale cool sky though it was; their heads were down and their tongues lolling out. 'Maggots!' jeered the Isengarders. 'You're cooked. The Whiteskins will catch you and eat you. They're coming!' A cry",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,36,3,3,[N/A]
grishnákh,snaga,PERSON-PERSON,CO_OCCURRENCE,"broad-bladed swords. A few of the larger and bolder Northerners remained with them. 'Now we'll deal with Grishnákh,' said Uglúk; but some even of his own followers were looking uneasily southwards. 'I know,' growled Uglúk. 'The cursed horse-boys have got wind of us. But that's all your fault, Snaga. You",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,3,3,[N/A]
snaga,uglúk,PERSON-PERSON,CO_OCCURRENCE,"southwards. 'I know,' growled Uglúk. 'The cursed horse-boys have got wind of us. But that's all your fault, Snaga. You and the other scouts ought to have your ears cut off. But we are the fighters. We'll feast on horseflesh yet, or something better.' At that moment Pippin saw why",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,7,3,3,[N/A]
grishnákh,lugbúrz,PERSON-LOCATION,CO_OCCURRENCE,"of Barad-dûr, Lugbúrz as they call it, makes me uneasy,' said Aragorn. 'The Dark Lord already knew too much and his servants also; and Grishnákh evidently sent some message across the River after the quarrel. The Red Eye will be looking towards Isengard. But Saruman at any rate is in",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,10,3,3,[N/A]
lugbúrz,uruk-hai,LOCATION-ORGANIZATION,CO_OCCURRENCE,"them show themselves across the Great River yet, not too soon. They're for the War-and other purposes.' 'You seem to know a lot,' said Uglúk. 'More than is good for you, I guess. Perhaps those in Lugbúrz might wonder how, and why. But in the meantime the Uruk-hai of Isengard",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,3,3,[N/A]
grishnákh,the isengarders,PERSON-ORGANIZATION,CO_OCCURRENCE,"heels.' The Isengarders seized Merry and Pippin again and slung them on their backs. Then the troop started off. Hour after hour they ran, pausing now and again only to sling the hobbits to fresh carriers. Either because they were quicker and hardier, or because of some plan of Grishnákh's,",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,22,3,3,[N/A]
the isengarders,the whiteskins,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"the Northerners. They were flagging in the rays of the bright sun, winter sun shining in a pale cool sky though it was; their heads were down and their tongues lolling out. 'Maggots!' jeered the Isengarders. 'You're cooked. The Whiteskins will catch you and eat you. They're coming!' A cry",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,9,3,3,[N/A]
the northerners,the whiteskins,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"the Northerners. They were flagging in the rays of the bright sun, winter sun shining in a pale cool sky though it was; their heads were down and their tongues lolling out. 'Maggots!' jeered the Isengarders. 'You're cooked. The Whiteskins will catch you and eat you. They're coming!' A cry",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,7,3,3,[N/A]
the isengarders,the soldiers of mordor,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"The Isengarders began to run with a redoubled pace that astonished Pippin, a terrific spurt it seemed for the end of a race. Then he saw that the sun was sinking, falling behind the Misty Mountains; shadows reached over the land. The soldiers of Mordor lifted their heads and also",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,3,3,[N/A]
grishnákh,lugdush,PERSON-PERSON,CO_OCCURRENCE,"down!' ordered Uglúk, taking no notice of Grishnákh. 'You, Lugdush, get two others and stand guard over them! They're not to be killed, unless the filthy Whiteskins break through. Understand? As long as I'm alive, I want 'em. But they're not to cry out, and they're not to be rescued.",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,9,3,3,[N/A]
mauhúr,uglúk,PERSON-PERSON,CO_OCCURRENCE,"Uglúk was probably knocking off a few more heads. Then suddenly the answering cries of orc-voices came from the right, outside the circle of watch-fires, from the direction of the forest and the mountains. Mauhúr had apparently arrived and was attacking the besiegers. There was the sound of galloping horses.",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,11,3,3,[N/A]
grishnákh,knoll,PERSON-LOCATION,CO_OCCURRENCE,avoid being spitted?' The answer came almost immediately. The cries of Grishnákh had roused the Orcs. From the yells and screeches that came from the knoll the hobbits guessed that their disappearance had been discovered: Uglúk was probably knocking off a few more heads. Then suddenly the answering cries of,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,3,3,3,[N/A]
knoll,uglúk,LOCATION-PERSON,CO_OCCURRENCE,avoid being spitted?' The answer came almost immediately. The cries of Grishnákh had roused the Orcs. From the yells and screeches that came from the knoll the hobbits guessed that their disappearance had been discovered: Uglúk was probably knocking off a few more heads. Then suddenly the answering cries of,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,3,3,3,[N/A]
old took,the great place of the tooks,PERSON-ORGANIZATION,CO_OCCURRENCE,"the Great Place of the Tooks away back in the Smials at Tuckborough: a huge place, where the furniture has never been moved or changed for generations. They say the Old Took lived in it year after year, while he and the room got older and shabbier together-and it has",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,4,3,[N/A]
old took,smials at tuckborough,PERSON-LOCATION,CO_OCCURRENCE,"Smials at Tuckborough: a huge place, where the furniture has never been moved or changed for generations. They say the Old Took lived in it year after year, while he and the room got older and shabbier together-and it has never changed since he died, a century ago. And Old",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,2,4,3,[N/A]
old gerontius,old took,PERSON-PERSON,CO_OCCURRENCE,"Old Took lived in it year after year, while he and the room got older and shabbier together-and it has never changed since he died, a century ago. And Old Gerontius was my great-great-grandfather: that puts it back a bit. But that is nothing to the old feeling of this",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,4,4,3,[N/A]
beaver,hound,PERSON-PERSON,CO_OCCURRENCE,"peoples: Eldest of all, the elf-children; Dwarf the delver, dark are his houses; Ent the earthborn, old as mountains; Man the mortal, master of horses: Hm, hm, hm. Beaver the builder, buck the leaper, Bear bee-hunter, boar the fighter; Hound is hungry, hare is fearful... hm, hm. Eagle in eyrie,",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,2,4,3,[N/A]
boar the fighter,hart horn-crowned,PERSON-PERSON,CO_OCCURRENCE,"the mortal, master of horses: Hm, hm, hm. Beaver the builder, buck the leaper, Bear bee-hunter, boar the fighter; Hound is hungry, hare is fearful... hm, hm. Eagle in eyrie, ox in pasture, Hart horn-crowned; hawk is swiftest Swan the whitest, serpent coldest... Hoom, hm; hoom. hm. how did it",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,4,3,[N/A]
bear bee-hunter,hart horn-crowned,PERSON-PERSON,CO_OCCURRENCE,"Hm, hm, hm. Beaver the builder, buck the leaper, Bear bee-hunter, boar the fighter; Hound is hungry, hare is fearful... hm, hm. Eagle in eyrie, ox in pasture, Hart horn-crowned; hawk is swiftest Swan the whitest, serpent coldest... Hoom, hm; hoom. hm. how did it go? Room tum, room tum,",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,4,3,[N/A]
nan-tasarion,tasarinan,LOCATION-LOCATION,CO_OCCURRENCE,to them: In the willow-meads of Tasarinan I walked in the Spring. Ah! the sight and the smell of the Spring in Nan-tasarion! And I said that was good. I wandered in Summer in the elm-woods of Ossiriand. Ah! the light and the music in the Summer by the Seven,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,6,4,3,[N/A]
nan-tasarion,ossiriand,LOCATION-LOCATION,CO_OCCURRENCE,to them: In the willow-meads of Tasarinan I walked in the Spring. Ah! the sight and the smell of the Spring in Nan-tasarion! And I said that was good. I wandered in Summer in the elm-woods of Ossiriand. Ah! the light and the music in the Summer by the Seven,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,3,4,3,[N/A]
ossiriand,tasarinan,LOCATION-LOCATION,CO_OCCURRENCE,to them: In the willow-meads of Tasarinan I walked in the Spring. Ah! the sight and the smell of the Spring in Nan-tasarion! And I said that was good. I wandered in Summer in the elm-woods of Ossiriand. Ah! the light and the music in the Summer by the Seven,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,3,4,3,[N/A]
nan-tasarion,neldoreth,LOCATION-LOCATION,CO_OCCURRENCE,Spring in Nan-tasarion! And I said that was good. I wandered in Summer in the elm-woods of Ossiriand. Ah! the light and the music in the Summer by the Seven Rivers of Ossir! And I thought that was best. To the beeches of Neldoreth I came in the Autumn. Ah!,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,2,4,3,[N/A]
neldoreth,taur-na-neldor,LOCATION-LOCATION,CO_OCCURRENCE,thought that was best. To the beeches of Neldoreth I came in the Autumn. Ah! the gold and the red and the sighing of leaves in the Autumn in Taur-na-neldor! It was more than my desire. To the pine-trees upon the highland of Dorthonion I climbed in the Winter. Ah!,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,3,4,3,[N/A]
dorthonion,neldoreth,LOCATION-LOCATION,CO_OCCURRENCE,thought that was best. To the beeches of Neldoreth I came in the Autumn. Ah! the gold and the red and the sighing of leaves in the Autumn in Taur-na-neldor! It was more than my desire. To the pine-trees upon the highland of Dorthonion I climbed in the Winter. Ah!,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,2,4,3,[N/A]
dorthonion,taur-na-neldor,LOCATION-LOCATION,CO_OCCURRENCE,in the Autumn in Taur-na-neldor! It was more than my desire. To the pine-trees upon the highland of Dorthonion I climbed in the Winter. Ah! the wind and the whiteness and the black branches of Winter upon Orod-na-Thôn! My voice went up and sang in the sky. And now all,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,5,4,3,[N/A]
orod-na-thôn,taur-na-neldor,LOCATION-LOCATION,CO_OCCURRENCE,in the Autumn in Taur-na-neldor! It was more than my desire. To the pine-trees upon the highland of Dorthonion I climbed in the Winter. Ah! the wind and the whiteness and the black branches of Winter upon Orod-na-Thôn! My voice went up and sang in the sky. And now all,C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,3,4,3,[N/A]
dorthonion,orod-na-thôn,LOCATION-LOCATION,CO_OCCURRENCE,"the highland of Dorthonion I climbed in the Winter. Ah! the wind and the whiteness and the black branches of Winter upon Orod-na-Thôn! My voice went up and sang in the sky. And now all those lands lie under the wave. And I walk in Ambaróna, in Tauremorna, in Aldalómë.",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,4,4,3,[N/A]
aldalómë,ambaróna,LOCATION-LOCATION,CO_OCCURRENCE,"Ambaróna, in Tauremorna, in Aldalómë. In my own land, in the country of Fangorn, Where the roots are long, And the years lie thicker than the leaves In Tauremornalómë. He ended, and strode on silently, and in all the wood, as far as ear could reach, there was not a",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,10,4,3,[N/A]
aldalómë,dorthonion,LOCATION-LOCATION,CO_OCCURRENCE,"the highland of Dorthonion I climbed in the Winter. Ah! the wind and the whiteness and the black branches of Winter upon Orod-na-Thôn! My voice went up and sang in the sky. And now all those lands lie under the wave. And I walk in Ambaróna, in Tauremorna, in Aldalómë.",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,4,3,[N/A]
aldalómë,orod-na-thôn,LOCATION-LOCATION,CO_OCCURRENCE,"climbed in the Winter. Ah! the wind and the whiteness and the black branches of Winter upon Orod-na-Thôn! My voice went up and sang in the sky. And now all those lands lie under the wave. And I walk in Ambaróna, in Tauremorna, in Aldalómë. In my own land, in",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,2,4,3,[N/A]
aldalómë,tauremorna,LOCATION-LOCATION,CO_OCCURRENCE,"Ambaróna, in Tauremorna, in Aldalómë. In my own land, in the country of Fangorn, Where the roots are long, And the years lie thicker than the leaves In Tauremornalómë. He ended, and strode on silently, and in all the wood, as far as ear could reach, there was not a",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,10,4,3,[N/A]
ambaróna,dorthonion,LOCATION-LOCATION,CO_OCCURRENCE,"the highland of Dorthonion I climbed in the Winter. Ah! the wind and the whiteness and the black branches of Winter upon Orod-na-Thôn! My voice went up and sang in the sky. And now all those lands lie under the wave. And I walk in Ambaróna, in Tauremorna, in Aldalómë.",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,4,3,[N/A]
ambaróna,orod-na-thôn,LOCATION-LOCATION,CO_OCCURRENCE,"climbed in the Winter. Ah! the wind and the whiteness and the black branches of Winter upon Orod-na-Thôn! My voice went up and sang in the sky. And now all those lands lie under the wave. And I walk in Ambaróna, in Tauremorna, in Aldalómë. In my own land, in",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,2,4,3,[N/A]
ambaróna,tauremorna,LOCATION-LOCATION,CO_OCCURRENCE,"Ambaróna, in Tauremorna, in Aldalómë. In my own land, in the country of Fangorn, Where the roots are long, And the years lie thicker than the leaves In Tauremornalómë. He ended, and strode on silently, and in all the wood, as far as ear could reach, there was not a",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,10,4,3,[N/A]
dorthonion,tauremorna,LOCATION-LOCATION,CO_OCCURRENCE,"the highland of Dorthonion I climbed in the Winter. Ah! the wind and the whiteness and the black branches of Winter upon Orod-na-Thôn! My voice went up and sang in the sky. And now all those lands lie under the wave. And I walk in Ambaróna, in Tauremorna, in Aldalómë.",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,1,4,3,[N/A]
orod-na-thôn,tauremorna,LOCATION-LOCATION,CO_OCCURRENCE,"climbed in the Winter. Ah! the wind and the whiteness and the black branches of Winter upon Orod-na-Thôn! My voice went up and sang in the sky. And now all those lands lie under the wave. And I walk in Ambaróna, in Tauremorna, in Aldalómë. In my own land, in",C:\Coding\LOTR-Extractor\LOTR_Text\02 - The Two Towers.txt,2,4,3,[N/A]
